id_sistema,legalName,altraDenominazione,dataAltraDenominazione,localType,nome,cognome,intestazione,authorizedFrom,existenceRangeFromDate,existenceRangeToDate,dataNascita,dataMorte,placeRole,placeEntry,otherPlaceRole,otherPlaceEntry,professione,legalStatus,tipologiaEnte,history,genere,relazione_complesso,relazione_tema,relazione_bib,rangeIntestazione
sp-101083,Magistrato politico economico di Trento,Magistrato civico di Trento,1814 - 1825,corporateBody,,,"Magistrato politico economico di Trento, Trento, 1825 - 1949",SIUSA,1814,1849,,,Sede,Trento,Sede,Trento,,pubblico,ente pubblico territoriale,"Il Comune di Trento fu amministrato dal Magistrato civico di Trento, ufficio periferico dello Stato di pari livello rispetto ai Giudizi costituenti il Circolo amministrativo di Trento con competenze equivalenti a quelle dei giudizi patrimoniali e principeschi. A partire dal 1° maggio 1817 al Magistrato competeva il controllo amministrativo oltre che sul territorio del comune di Trento anche sui circostanti comuni rurali esterni di Gardolo, Montevaccino, Valcalda, Cognola, Villamontagna, Pozza, Martignano, il Columello di Mezzo e i masi, Mattarello, Valsorda, Romagnano, Ravina, Pissavacca, Sardagna e Mezzolombardo (fino all’istituzione del Giudizio distrettuale di Mezzolombardo nel 1824).",,ca-83463,Enti pubblici locali e territoriali,,1825 - 1949
sp-101083,Magistrato politico economico di Trento,Magistrato civico di Trento,1814 - 1825,corporateBody,,,"Magistrato politico economico di Trento, Trento, 1825 - 1949",SIUSA,1814,1849,,,Sede,Trento,Sede,Trento,,pubblico,ente pubblico territoriale,"In via provvisoria fu affidata all’ente cittadino anche l’amministrazione politica sui sospesi Giudizi di Spor, Belfort e Mezzocorona, mentre le competenze giurisdizionali furono rimesse al Giudizio civico provinciale di Trento.",,ca-83463,Enti pubblici locali e territoriali,,1825 - 1949
sp-101083,Magistrato politico economico di Trento,Magistrato civico di Trento,1814 - 1825,corporateBody,,,"Magistrato politico economico di Trento, Trento, 1825 - 1949",SIUSA,1814,1849,,,Sede,Trento,Sede,Trento,,pubblico,ente pubblico territoriale,"Il 22 novembre 1825 fu emessa e approvata una sovrana risoluzione con decreto governativo del 25 novembre dello stesso anno, immediatamente rimesso al Capitanato circolare di Trento, il quale il 31 dicembre del 1825 trasmise al Magistrato civico di Trento le disposizioni per l’organizzazione del futuro Magistrato politico economico, nonché le norme per eleggere la rappresentanza comunale e il Consiglio magistratale.",,ca-83463,Enti pubblici locali e territoriali,,1825 - 1949
sp-101083,Magistrato politico economico di Trento,Magistrato civico di Trento,1814 - 1825,corporateBody,,,"Magistrato politico economico di Trento, Trento, 1825 - 1949",SIUSA,1814,1849,,,Sede,Trento,Sede,Trento,,pubblico,ente pubblico territoriale,"Il Magistrato politico economico doveva essere composto da: un Podestà, il quale assumeva un incarico a vita su nomina del Governo ed era responsabile diretto del Magistrato politico economico, otto consiglieri e ventiquattro rappresentanti eletti direttamente dai concittadini capi di famiglia.",,ca-83463,Enti pubblici locali e territoriali,,1825 - 1949
sp-103577,Commissione provinciale di censura di guerra di Mantova,,,corporateBody,,,"Commissione provinciale di censura di guerra di Mantova, Mantova, 1940 - 1945",SIUSA,1940,1945,,,Sede,Mantova,Sede,Mantova,,pubblico,stato,Allo stato attuale della ricerca non sono state reperite informazioni concernenti specificatamente la Commissione provinciale di censura di guerra di Mantova.,,ca-599837,Rete Parri,,1940 - 1945
sp-103577,Commissione provinciale di censura di guerra di Mantova,,,corporateBody,,,"Commissione provinciale di censura di guerra di Mantova, Mantova, 1940 - 1945",SIUSA,1940,1945,,,Sede,Mantova,Sede,Mantova,,pubblico,stato,Allo stato attuale della ricerca non sono state reperite informazioni concernenti specificatamente la Commissione provinciale di censura di guerra di Mantova.,,ca-599837,Rete Parri,,1940 - 1945
sp-103577,"Commissione provinciale di censura di guerra di Mantova, Mantova, 1940 - 1945",,,corporateBody,,,"Commissione provinciale di censura di guerra di Mantova, Mantova, 1940 - 1945",SIUSA,1940,1945,,,Sede,Mantova,Sede,Mantova,,pubblico,stato,Allo stato attuale della ricerca non sono state reperite informazioni concernenti specificatamente la Commissione provinciale di censura di guerra di Mantova.,,ca-599837,Rete Parri,,1940 - 1945
sp-103577,Commissione provinciale di censura di guerra di Mantova,,,corporateBody,,,"Commissione provinciale di censura di guerra di Mantova, Mantova, 1940 - 1945",SIUSA,1940,1945,,,Sede,Mantova,Sede,Mantova,,pubblico,stato,Allo stato attuale della ricerca non sono state reperite informazioni concernenti specificatamente la Commissione provinciale di censura di guerra di Mantova.,,ca-599837,Rete Parri,,1940 - 1945
sp-103577,Commissione provinciale di censura di guerra di Mantova,,,corporateBody,,,"Commissione provinciale di censura di guerra di Mantova, Mantova, 1940 - 1945",SIUSA,1940,1945,,,Sede,Mantova,Sede,Mantova,,pubblico,stato,"Il controllo e la censura durante lo stato di guerra, relativamente alla corrispondenza postale e alle comunicazioni telegrafiche, telefoniche e radioelettriche, vennero stabiliti con r.d. 8 luglio 1938 n. 1415. Il 15 giugno 1940 entrarono in vigore i rr.dd. n. 2247 e n. 2248 del 12 ottobre 1939. Tali provvedimenti istituirono e normarono le Commissioni provinciali di censura postale – che successivamente divennero Commissioni provinciali di censura di guerra –, dipendenti dalle Prefetture e stabilite presso le Direzioni provinciali delle Poste e dei telegrafi.",,ca-599837,Rete Parri,,1940 - 1945
sp-103577,Commissione provinciale di censura di guerra di Mantova,,,corporateBody,,,"Commissione provinciale di censura di guerra di Mantova, Mantova, 1940 - 1945",SIUSA,1940,1945,,,Sede,Mantova,Sede,Mantova,,pubblico,stato,"Dal luglio 1940 vennero soppressi gli uffici militari di censura e il controllo sulla corrispondenza civile e militare fu assegnato alle Commissioni provinciali di censura postale. Le Commissioni, presiedute da un funzionario civile, erano composte da ufficiali di complemento e impiegati civili iscritti al Partito nazionale fascista - PNF.",,ca-599837,Rete Parri,,1940 - 1945
sp-103578,Commissione provinciale patrioti di Trento,Ufficio provinciale patrioti di Trento,1945,corporateBody,,,"Commissione provinciale patrioti di Trento, Trento, 1946",SIUSA,1945,1946,,,Sede,Trento,Sede,Trento,,pubblico,stato,"Gli Uffici provinciali patrioti si costituirono nei territori dell’Italia liberata come Uffici dipendenti dal Governo militare alleato (Allied Military Government - AMG), retti da rappresentanti militari italiani patrioti (Italian military patriots representative - IMPR), ufficiali dell’Esercito italiano distaccati presso i Quartieri generali provinciali degli Alleati.",,ca-599842,Antifascismo e Resistenza,,1946
sp-103578,Commissione provinciale patrioti di Trento,Ufficio provinciale patrioti di Trento,1945,corporateBody,,,"Commissione provinciale patrioti di Trento, Trento, 1946",SIUSA,1945,1946,,,Sede,Trento,Sede,Trento,,pubblico,stato,"Gli Uffici provinciali patrioti si costituirono nei territori dell’Italia liberata come Uffici dipendenti dal Governo militare alleato (Allied Military Government - AMG), retti da rappresentanti militari italiani patrioti (Italian military patriots representative - IMPR), ufficiali dell’Esercito italiano distaccati presso i Quartieri generali provinciali degli Alleati.",,ca-599842,Antifascismo e Resistenza,,1946
sp-103578,"Commissione provinciale patrioti di Trento, Trento, 1946",Ufficio provinciale patrioti di Trento,1945,corporateBody,,,"Commissione provinciale patrioti di Trento, Trento, 1946",SIUSA,1945,1946,,,Sede,Trento,Sede,Trento,,pubblico,stato,"Gli Uffici provinciali patrioti si costituirono nei territori dell’Italia liberata come Uffici dipendenti dal Governo militare alleato (Allied Military Government - AMG), retti da rappresentanti militari italiani patrioti (Italian military patriots representative - IMPR), ufficiali dell’Esercito italiano distaccati presso i Quartieri generali provinciali degli Alleati.",,ca-599842,Antifascismo e Resistenza,,1946
sp-103578,"Ufficio provinciale patrioti di Trento, Trento, 1945",Ufficio provinciale patrioti di Trento,1945,corporateBody,,,"Commissione provinciale patrioti di Trento, Trento, 1946",SIUSA,1945,1946,,,Sede,Trento,Sede,Trento,,pubblico,stato,"Gli Uffici provinciali patrioti si costituirono nei territori dell’Italia liberata come Uffici dipendenti dal Governo militare alleato (Allied Military Government - AMG), retti da rappresentanti militari italiani patrioti (Italian military patriots representative - IMPR), ufficiali dell’Esercito italiano distaccati presso i Quartieri generali provinciali degli Alleati.",,ca-599842,Antifascismo e Resistenza,,1946
sp-103578,Ufficio provinciale patrioti di Trento,Ufficio provinciale patrioti di Trento,1945,corporateBody,,,"Commissione provinciale patrioti di Trento, Trento, 1946",SIUSA,1945,1946,,,Sede,Trento,Sede,Trento,,pubblico,stato,"Gli Uffici provinciali patrioti si costituirono nei territori dell’Italia liberata come Uffici dipendenti dal Governo militare alleato (Allied Military Government - AMG), retti da rappresentanti militari italiani patrioti (Italian military patriots representative - IMPR), ufficiali dell’Esercito italiano distaccati presso i Quartieri generali provinciali degli Alleati.",,ca-599842,Antifascismo e Resistenza,,1946
sp-103578,Commissione provinciale patrioti di Trento,Ufficio provinciale patrioti di Trento,1945,corporateBody,,,"Commissione provinciale patrioti di Trento, Trento, 1946",SIUSA,1945,1946,,,Sede,Trento,Sede,Trento,,pubblico,stato,"Gli Uffici provinciali patrioti si costituirono nei territori dell’Italia liberata come Uffici dipendenti dal Governo militare alleato (Allied Military Government - AMG), retti da rappresentanti militari italiani patrioti (Italian military patriots representative - IMPR), ufficiali dell’Esercito italiano distaccati presso i Quartieri generali provinciali degli Alleati.",,ca-599842,Antifascismo e Resistenza,,1946
sp-103578,Commissione provinciale patrioti di Trento,Ufficio provinciale patrioti di Trento,1945,corporateBody,,,"Ufficio provinciale patrioti di Trento, Trento, 1945",SIUSA,1945,1946,,,Sede,Trento,Sede,Trento,,pubblico,stato,"Gli Uffici provinciali patrioti si costituirono nei territori dell’Italia liberata come Uffici dipendenti dal Governo militare alleato (Allied Military Government - AMG), retti da rappresentanti militari italiani patrioti (Italian military patriots representative - IMPR), ufficiali dell’Esercito italiano distaccati presso i Quartieri generali provinciali degli Alleati.",,ca-599842,Antifascismo e Resistenza,,1945
sp-103578,Commissione provinciale patrioti di Trento,Ufficio provinciale patrioti di Trento,1945,corporateBody,,,"Commissione provinciale patrioti di Trento, Trento, 1946",SIUSA,1945,1946,,,Sede,Trento,Sede,Trento,,pubblico,stato,"Gli Uffici provinciali patrioti si costituirono nei territori dell’Italia liberata come Uffici dipendenti dal Governo militare alleato (Allied Military Government - AMG), retti da rappresentanti militari italiani patrioti (Italian military patriots representative - IMPR), ufficiali dell’Esercito italiano distaccati presso i Quartieri generali provinciali degli Alleati.",,ca-599842,Antifascismo e Resistenza,,1946
sp-103578,Commissione provinciale patrioti di Trento,Ufficio provinciale patrioti di Trento,1945,corporateBody,,,"Commissione provinciale patrioti di Trento, Trento, 1946",SIUSA,1945,1946,,,Sede,Trento,Sede,Trento,,pubblico,stato,"Gli Uffici provinciali patrioti si costituirono nei territori dell’Italia liberata come Uffici dipendenti dal Governo militare alleato (Allied Military Government - AMG), retti da rappresentanti militari italiani patrioti (Italian military patriots representative - IMPR), ufficiali dell’Esercito italiano distaccati presso i Quartieri generali provinciali degli Alleati.",,ca-599842,Antifascismo e Resistenza,,1946
sp-103578,Commissione provinciale patrioti di Trento,Ufficio provinciale patrioti di Trento,1945,corporateBody,,,"Commissione provinciale patrioti di Trento, Trento, 1946",SIUSA,1945,1946,,,Sede,Trento,Sede,Trento,,pubblico,stato,"Gli Uffici provinciali patrioti si costituirono nei territori dell’Italia liberata come Uffici dipendenti dal Governo militare alleato (Allied Military Government - AMG), retti da rappresentanti militari italiani patrioti (Italian military patriots representative - IMPR), ufficiali dell’Esercito italiano distaccati presso i Quartieri generali provinciali degli Alleati.",,ca-599842,Antifascismo e Resistenza,,1946
sp-103578,Commissione provinciale patrioti di Trento,Ufficio provinciale patrioti di Trento,1945,corporateBody,,,"Commissione provinciale patrioti di Trento, Trento, 1946",SIUSA,1945,1946,,,Sede,Trento,Sede,Trento,,pubblico,stato,"Ad essi vennero affidati compiti relativi al riconoscimento delle qualifiche partigiane, all’erogazione di assistenza e di sussidi, al riconoscimento dei premi di smobilitazione o di solidarietà nazionale, alla distribuzione dei certificati Alexander, al coordinamento del disarmo e della raccolta di armi, munizioni, automezzi e materiali, alla istituzione e amministrazione di centri di raccolta patrioti per l’accoglienza dei partigiani in attesa di rientro alle proprie abitazioni, e all’arruolamento dei patrioti nell’esercito o al loro reimpiego nella vita civile.",,ca-599842,Antifascismo e Resistenza,,1946
sp-103578,Commissione provinciale patrioti di Trento,Ufficio provinciale patrioti di Trento,1945,corporateBody,,,"Commissione provinciale patrioti di Trento, Trento, 1946",SIUSA,1945,1946,,,Sede,Trento,Sede,Trento,,pubblico,stato,"Dopo il passaggio delle provincie all'amministrazione italiana (1 gennaio 1946), le Commissioni provinciali patrioti passarono alle dipendenze del Ministero dell’assistenza post-bellica. Esse vennero definitivamente soppresse al 31 maggio 1946, ad eccezione di alcune province nelle quali continuarono ad esistere come sezioni autonome, per poi decadere con la soppressione del Ministero dell’Assistenza postbellica (d.lgs.cps 14/2/1947, n. 27).",,ca-599842,Antifascismo e Resistenza,,1946
sp-103578,Commissione provinciale patrioti di Trento,Ufficio provinciale patrioti di Trento,1945,corporateBody,,,"Commissione provinciale patrioti di Trento, Trento, 1946",SIUSA,1945,1946,,,Sede,Trento,Sede,Trento,,pubblico,stato,"La Commissione Triveneta per il riconoscimento della qualifica di partigiano, istituita come le altre in base alle disposizioni contenute nel d.l.l. 21 agosto 1945, n. 518, iniziò ad operare all’inizio del 1946 presso la sede della Prefettura di Padova. Dal punto di vista della giurisdizione la Commissione si ritrovò ad insistere su un’area vasta che ricalcava la delimitazione geografica e organica dei territori che rispondevano al Comando militare regionale - CMR Veneto (articolazione regionale del Corpo volontari della libertà - CVL), ossia le zone Friuli, Piave, Alto Adige, Garemi, Ortigara, Monte Grappa, Treviso, Venezia Mestre, Padova, Vicenza, Verona montagna, Verona pianura e Rovigo.",,ca-599842,Antifascismo e Resistenza,,1946
sp-103578,Commissione provinciale patrioti di Trento,Ufficio provinciale patrioti di Trento,1945,corporateBody,,,"Commissione provinciale patrioti di Trento, Trento, 1946",SIUSA,1945,1946,,,Sede,Trento,Sede,Trento,,pubblico,stato,"Con lo scioglimento del Ministero dell’assistenza post-bellica (d.lgs.cps 14/2/1947, n. 27), le attribuzioni circa il funzionamento delle Commissioni regionali vennero devolute alla Presidenza del Consiglio dei ministri (d.l.c.p.s. 27/1947, art. 10), presso il quale venne istituito il Servizio Commissioni riconoscimento qualifiche partigiani di competenza del Sottosegretario per l’assistenza ai reduci e ai partigiani.",,ca-599842,Antifascismo e Resistenza,,1946
sp-103578,Commissione provinciale patrioti di Trento,Ufficio provinciale patrioti di Trento,1945,corporateBody,,,"Commissione provinciale patrioti di Trento, Trento, 1946",SIUSA,1945,1946,,,Sede,Trento,Sede,Trento,,pubblico,stato,"Gli Uffici provinciali patrioti si costituirono nei territori dell’Italia liberata come Uffici dipendenti dal Governo militare alleato (Allied Military Government - AMG), retti da rappresentanti militari italiani patrioti (Italian military patriots representative - IMPR), ufficiali dell’Esercito italiano distaccati presso i Quartieri generali provinciali degli Alleati.",,ca-599842,Antifascismo e Resistenza,,1946
sp-103578,Commissione provinciale patrioti di Trento,Ufficio provinciale patrioti di Trento,1945,corporateBody,,,"Commissione provinciale patrioti di Trento, Trento, 1946",SIUSA,1945,1946,,,Sede,Trento,Sede,Trento,,pubblico,stato,"Gli Uffici provinciali patrioti si costituirono nei territori dell’Italia liberata come Uffici dipendenti dal Governo militare alleato (Allied Military Government - AMG), retti da rappresentanti militari italiani patrioti (Italian military patriots representative - IMPR), ufficiali dell’Esercito italiano distaccati presso i Quartieri generali provinciali degli Alleati.",,ca-599842,Rete Parri,,1946
sp-103579,Comitato di liberazione nazionale - CLN provinciale di Trento,,,corporateBody,,,"Comitato di liberazione nazionale - CLN provinciale di Trento, Trento, 1945 - 1946",SIUSA,1945 apr 30,1946 lug,,,Sede,Trento,Sede,Trento,,pubblico,comitato di liberazione nazionale e organizzazione della Resistenza,"Il 10 settembre 1943 i nazisti occuparono e le province di Bolzano, Trento e Belluno, e parimenti le provincie di Udine, Gorizia, Trieste, Pola, Fiume e Lubiana, che costituirono rispettivamente in Operationszone Alpenvorland - OZAV (Zona d'operazioni delle Prealpi) e in Operationszone Adriatisches Küstenland - OZAK (Zona d'operazioni del Litorale adriatico). Affidati ai Gauleiter del Tirolo e della Carinzia, i due territori vennero di fatto eretti a provincie del Reich e la Repubblica sociale italiana - RSI vi esercitò una sovranità solamente nominale.",,ca-599861,Antifascismo e Resistenza,"Il Comitato provinciale di liberazione nazionale di Trento. Inventario dell'archivio e verbali di seduta (1945-1946), a cura di S. BENVENUTI, Trento, Fondazione Museo storico del Trentino, 2010",1945 - 1946
sp-103579,Comitato di liberazione nazionale - CLN provinciale di Trento,,,corporateBody,,,"Comitato di liberazione nazionale - CLN provinciale di Trento, Trento, 1945 - 1946",SIUSA,1945 apr 30,1946 lug,,,Sede,Trento,Sede,Trento,,pubblico,comitato di liberazione nazionale e organizzazione della Resistenza,"Il 10 settembre 1943 i nazisti occuparono e le province di Bolzano, Trento e Belluno, e parimenti le provincie di Udine, Gorizia, Trieste, Pola, Fiume e Lubiana, che costituirono rispettivamente in Operationszone Alpenvorland - OZAV (Zona d'operazioni delle Prealpi) e in Operationszone Adriatisches Küstenland - OZAK (Zona d'operazioni del Litorale adriatico). Affidati ai Gauleiter del Tirolo e della Carinzia, i due territori vennero di fatto eretti a provincie del Reich e la Repubblica sociale italiana - RSI vi esercitò una sovranità solamente nominale.",,ca-599861,Antifascismo e Resistenza,"Il Comitato provinciale di liberazione nazionale di Trento. Inventario dell'archivio e verbali di seduta (1945-1946), a cura di S. BENVENUTI, Trento, Fondazione Museo storico del Trentino, 2010",1945 - 1946
sp-103579,"Comitato di liberazione nazionale - CLN provinciale di Trento, Trento, 1945 - 1946",,,corporateBody,,,"Comitato di liberazione nazionale - CLN provinciale di Trento, Trento, 1945 - 1946",SIUSA,1945 apr 30,1946 lug,,,Sede,Trento,Sede,Trento,,pubblico,comitato di liberazione nazionale e organizzazione della Resistenza,"Il 10 settembre 1943 i nazisti occuparono e le province di Bolzano, Trento e Belluno, e parimenti le provincie di Udine, Gorizia, Trieste, Pola, Fiume e Lubiana, che costituirono rispettivamente in Operationszone Alpenvorland - OZAV (Zona d'operazioni delle Prealpi) e in Operationszone Adriatisches Küstenland - OZAK (Zona d'operazioni del Litorale adriatico). Affidati ai Gauleiter del Tirolo e della Carinzia, i due territori vennero di fatto eretti a provincie del Reich e la Repubblica sociale italiana - RSI vi esercitò una sovranità solamente nominale.",,ca-599861,Antifascismo e Resistenza,"Il Comitato provinciale di liberazione nazionale di Trento. Inventario dell'archivio e verbali di seduta (1945-1946), a cura di S. BENVENUTI, Trento, Fondazione Museo storico del Trentino, 2010",1945 - 1946
sp-103579,Comitato di liberazione nazionale - CLN provinciale di Trento,,,corporateBody,,,"Comitato di liberazione nazionale - CLN provinciale di Trento, Trento, 1945 - 1946",SIUSA,1945 apr 30,1946 lug,,,Sede,Trento,Sede,Trento,,pubblico,comitato di liberazione nazionale e organizzazione della Resistenza,"Il 10 settembre 1943 i nazisti occuparono e le province di Bolzano, Trento e Belluno, e parimenti le provincie di Udine, Gorizia, Trieste, Pola, Fiume e Lubiana, che costituirono rispettivamente in Operationszone Alpenvorland - OZAV (Zona d'operazioni delle Prealpi) e in Operationszone Adriatisches Küstenland - OZAK (Zona d'operazioni del Litorale adriatico). Affidati ai Gauleiter del Tirolo e della Carinzia, i due territori vennero di fatto eretti a provincie del Reich e la Repubblica sociale italiana - RSI vi esercitò una sovranità solamente nominale.",,ca-599861,Antifascismo e Resistenza,"Il Comitato provinciale di liberazione nazionale di Trento. Inventario dell'archivio e verbali di seduta (1945-1946), a cura di S. BENVENUTI, Trento, Fondazione Museo storico del Trentino, 2010",1945 - 1946
sp-103579,Comitato di liberazione nazionale - CLN provinciale di Trento,,,corporateBody,,,"Comitato di liberazione nazionale - CLN provinciale di Trento, Trento, 1945 - 1946",SIUSA,1945 apr 30,1946 lug,,,Sede,Trento,Sede,Trento,,pubblico,stato,"Il 10 settembre 1943 i nazisti occuparono e le province di Bolzano, Trento e Belluno, e parimenti le provincie di Udine, Gorizia, Trieste, Pola, Fiume e Lubiana, che costituirono rispettivamente in Operationszone Alpenvorland - OZAV (Zona d'operazioni delle Prealpi) e in Operationszone Adriatisches Küstenland - OZAK (Zona d'operazioni del Litorale adriatico). Affidati ai Gauleiter del Tirolo e della Carinzia, i due territori vennero di fatto eretti a provincie del Reich e la Repubblica sociale italiana - RSI vi esercitò una sovranità solamente nominale.",,ca-599861,Antifascismo e Resistenza,"Il Comitato provinciale di liberazione nazionale di Trento. Inventario dell'archivio e verbali di seduta (1945-1946), a cura di S. BENVENUTI, Trento, Fondazione Museo storico del Trentino, 2010",1945 - 1946
sp-103579,Comitato di liberazione nazionale - CLN provinciale di Trento,,,corporateBody,,,"Comitato di liberazione nazionale - CLN provinciale di Trento, Trento, 1945 - 1946",SIUSA,1945 apr 30,1946 lug,,,Sede,Trento,Sede,Trento,,pubblico,comitato di liberazione nazionale e organizzazione della Resistenza,"Il 10 settembre 1943 i nazisti occuparono e le province di Bolzano, Trento e Belluno, e parimenti le provincie di Udine, Gorizia, Trieste, Pola, Fiume e Lubiana, che costituirono rispettivamente in Operationszone Alpenvorland - OZAV (Zona d'operazioni delle Prealpi) e in Operationszone Adriatisches Küstenland - OZAK (Zona d'operazioni del Litorale adriatico). Affidati ai Gauleiter del Tirolo e della Carinzia, i due territori vennero di fatto eretti a provincie del Reich e la Repubblica sociale italiana - RSI vi esercitò una sovranità solamente nominale.",,ca-599861,Antifascismo e Resistenza,"Il Comitato provinciale di liberazione nazionale di Trento. Inventario dell'archivio e verbali di seduta (1945-1946), a cura di S. BENVENUTI, Trento, Fondazione Museo storico del Trentino, 2010",1945 - 1946
sp-103579,Comitato di liberazione nazionale - CLN provinciale di Trento,,,corporateBody,,,"Comitato di liberazione nazionale - CLN provinciale di Trento, Trento, 1945 - 1946",SIUSA,1945 apr 30,1946 lug,,,Sede,Trento,Sede,Trento,,pubblico,comitato di liberazione nazionale e organizzazione della Resistenza,"Poco dopo la costituzione dell'Operationszone Alpenvorland - OZAV (Zona d'operazioni delle Prealpi) prese vita un'organizzazione resistenziale, costituita da esponenti degli antifascismi di ispirazione cattolica, comunista, repubblicana e socialista, la quale sino alla primavera del 1944 operò per collegare e organizzare i vari gruppi partigiani – composti da antifascisti, militari sbandati, renitenti ai bandi nazisti – che erano sorti nelle aree periferiche della provincia. In Trentino, l’occupazione diretta da parte dei nazisti costituì un forte ostacolo allo sviluppo di un movimento organizzato di resistenza politico o militare – che risultò più incisivo dove poté appoggiarsi a formazioni operanti fuori provincia come quelle del Vicentino e del Bellunese –.",,ca-599861,Antifascismo e Resistenza,"Il Comitato provinciale di liberazione nazionale di Trento. Inventario dell'archivio e verbali di seduta (1945-1946), a cura di S. BENVENUTI, Trento, Fondazione Museo storico del Trentino, 2010",1945 - 1946
